method,wrr,wcr,ser,time
deepspeech,0.537037037037037,0.5648148148148148,1.0,50.244741173000875
google,0.9351851851851852,0.9351851851851852,0.4,12.294469016997027
wit,0.8425925925925926,0.8518518518518519,0.8,46.146806460001244
sphinx,0.5092592592592593,0.6111111111111112,1.0,36.29630102099691
houndify,0.8888888888888888,0.8981481481481481,0.4,59.31016987699513
